plant,pollinator,n,n_inat
Heliopsis helianthoides,Scolia nobilitata,1,1
Heliopsis helianthoides,Sitochroa palealis,1,1
Heliopsis helianthoides,Sparnopolius confusus,1,1
Heliopsis helianthoides,Sphecius speciosus,1,1
Heliopsis helianthoides,Sphecodes smilacinae,1,0
Heliopsis helianthoides,Sphex ichneumoneus,1,1
Heliopsis helianthoides,Spilomyia fusca,1,1
Heliopsis helianthoides,Spilomyia longicornis,1,1
Heliopsis helianthoides,Stelis louisae,39,39
Heliopsis helianthoides,Stictia carolina,2,2
Heliopsis helianthoides,Strangalia luteicornis,1,1
Heliopsis helianthoides,Strymon melinus,3,3
Heliopsis helianthoides,Stylogaster neglecta,4,4
Heliopsis helianthoides,Svastra atripes,2,2
Heliopsis helianthoides,Syritta pipiens,4,4
Heliopsis helianthoides,Syrphus ribesii,1,1
Heliopsis helianthoides,Tachytes chrysopyga,1,0
Heliopsis helianthoides,Tachytes pepticus,1,0
Heliopsis helianthoides,Tetraopes tetrophthalmus,2,2
Heliopsis helianthoides,Toxomerus geminatus,1,1
Heliopsis helianthoides,Toxomerus marginatus,10,10
Heliopsis helianthoides,Trichiotinus affinis,1,0
Heliopsis helianthoides,Trichodezia albovittata,1,1
Heliopsis helianthoides,Triepeolus helianthi,1,1
Heliopsis helianthoides,Triepeolus lunatus,13,13
Heliopsis helianthoides,Triepeolus pectoralis,1,1
Heliopsis helianthoides,Triepeolus remigatus,2,2
Heliopsis helianthoides,Typocerus acuticauda,1,1
Heliopsis helianthoides,Typocerus lugubris,1,0
Heliopsis helianthoides,Udea rubigalis,1,1
Heliopsis helianthoides,Vanessa atalanta,6,6
Heliopsis helianthoides,Vanessa virginiensis,9,9
Heliopsis helianthoides,Vernia verna,2,2
Heliopsis helianthoides,Vespula maculifrons,1,1
Heliopsis helianthoides,Vespula vidua,1,1
Heliopsis helianthoides,Wallengrenia egeremet,2,2
Heliopsis helianthoides,Xylocopa virginica,10,10
Heliopsis helianthoides,Zonitis vittigera,1,1
Heliotropium amplexicaule,Bombus impatiens,2,0
Heliotropium amplexicaule,Dione vanillae,1,1
Heliotropium amplexicaule,Hedone vibex,1,1
Heliotropium amplexicaule,Hylephila phyleus,1,1
Heliotropium angiospermum,Agapostemon splendens,1,1
Heliotropium angiospermum,Ammophila pictipennis,2,2
Heliotropium angiospermum,Anartia jatrophae,2,2
Heliotropium angiospermum,Apis mellifera,6,6
Heliotropium angiospermum,Ascia monuste,10,10
Heliotropium angiospermum,Bicyrtes insidiatrix,1,1
Heliotropium angiospermum,Bicyrtes quadrifasciatus,1,1
Heliotropium angiospermum,Brephidium exilis,2,2
Heliotropium angiospermum,Chlorostrymon simaethis,2,2
Heliotropium angiospermum,Chrysanthrax cypris,2,2
Heliotropium angiospermum,Composia fidelissima,1,1
Heliotropium angiospermum,Copestylum florida,1,1
Heliotropium angiospermum,Danaus gilippus,1,1
Heliotropium angiospermum,Delta higletti,4,4
Heliotropium angiospermum,Dielis dorsata,3,3
Heliotropium angiospermum,Dielis tolteca,1,1
Heliotropium angiospermum,Dione vanillae,2,2
Heliotropium angiospermum,Dryas iulia,6,6
Heliotropium angiospermum,Ephyriades brunnea,1,1
Heliotropium angiospermum,Erynnis horatius,4,4
Heliotropium angiospermum,Eumaeus atala,4,4
Heliotropium angiospermum,Glutophrissa drusilla,4,4
Heliotropium angiospermum,Halictus poeyi,3,3
Heliotropium angiospermum,Heliconius charithonia,6,6
Heliotropium angiospermum,Hemiargus ceraunus,1,1
Heliotropium angiospermum,Hylephila phyleus,4,4
Heliotropium angiospermum,Junonia neildi,1,1
Heliotropium angiospermum,Leiopodus singularis,1,1
Heliotropium angiospermum,Leptotes cassius,30,30
Heliotropium angiospermum,Lerodea eufala,1,1
Heliotropium angiospermum,Marpesia petreus,1,1
Heliotropium angiospermum,Neodiplocampta miranda,1,1
Heliotropium angiospermum,Pachodynerus erynnis,9,9
Heliotropium angiospermum,Palpada pusilla,1,1
Heliotropium angiospermum,Phocides batabano,1,1
Heliotropium angiospermum,Phyciodes phaon,1,1
Heliotropium angiospermum,Poecilanthrax lucifer,1,1
Heliotropium angiospermum,Polistes dorsalis,1,1
Heliotropium angiospermum,Polistes major,1,1
Heliotropium angiospermum,Polites baracoa,1,1
Heliotropium angiospermum,Pyrausta tyralis,1,1
Heliotropium angiospermum,Pyrgus oileus,1,1
Heliotropium angiospermum,Pyrisitia dina,1,1
Heliotropium angiospermum,Pyrisitia nise,1,1
Heliotropium angiospermum,Scolia nobilitata,4,4
Heliotropium angiospermum,Strigoderma pygmaea,1,1
Heliotropium angiospermum,Toxomerus arcifer,1,1
Heliotropium angiospermum,Toxomerus boscii,1,1
Heliotropium angiospermum,Vanessa atalanta,1,1
Heliotropium angiospermum,Vanessa cardui,1,1
Heliotropium angiospermum,Xylocopa micans,3,3
Heliotropium angiospermum,Xylocopa virginica,2,2
Heliotropium angiospermum,Zeta argillaceum,13,13
Heliotropium angiospermum,Zethus slossonae,12,12
Heliotropium angiospermum,Zethus spinipes,1,1
Heliotropium curassavicum,Agapostemon melliventris,1,1
Heliotropium curassavicum,Agapostemon texanus,2,1
Heliotropium curassavicum,Anthophora californica,1,1
Heliotropium curassavicum,Anthophora curta,1,1
Heliotropium curassavicum,Anthophora flavocincta,1,1
Heliotropium curassavicum,Anthophora urbana,1,1
Heliotropium curassavicum,Apis mellifera,7,7
Heliotropium curassavicum,Argynnis coronis,3,3
Heliotropium curassavicum,Atalopedes campestris,2,2
Heliotropium curassavicum,Augochlorella pomoniella,5,5
Heliotropium curassavicum,Autographa californica,1,1
Heliotropium curassavicum,Bembix americana,7,7
Heliotropium curassavicum,Bembix amoena,1,1
Heliotropium curassavicum,Bombus crotchii,2,2
Heliotropium curassavicum,Bombus vosnesenskii,3,3
Heliotropium curassavicum,Brephidium exilis,42,42
Heliotropium curassavicum,Burnsius albezens,10,10
Heliotropium curassavicum,Burnsius communis,5,5
Heliotropium curassavicum,Calliopsis hesperia,25,25
Heliotropium curassavicum,Ceratina arizonensis,39,39
Heliotropium curassavicum,Coenonympha california,1,1
Heliotropium curassavicum,Colias eurytheme,5,5
Heliotropium curassavicum,Copestylum marginatum,1,1
Heliotropium curassavicum,Ctenucha brunnea,1,1
Heliotropium curassavicum,Danaus gilippus,5,5
Heliotropium curassavicum,Danaus plexippus,3,3
Heliotropium curassavicum,Dione vanillae,1,1
Heliotropium curassavicum,Echinargus isola,3,3
Heliotropium curassavicum,Epeolus compactus,1,1
Heliotropium curassavicum,Eresia aveyrona,5,5
Heliotropium curassavicum,Eristalinus aeneus,3,3
Heliotropium curassavicum,Erynnis afranius,1,1
Heliotropium curassavicum,Erynnis funeralis,2,2
Heliotropium curassavicum,Erynnis tristis,2,2
Heliotropium curassavicum,Estigmene acrea,5,5
Heliotropium curassavicum,Exoprosopa brevirostris,1,1
Heliotropium curassavicum,Heliopetes ericetorum,1,1
Heliotropium curassavicum,Hemaris thetis,2,2
Heliotropium curassavicum,Hemiargus ceraunus,2,2
Heliotropium curassavicum,Hesperia comma,1,1
Heliotropium curassavicum,Hippodamia convergens,1,1
Heliotropium curassavicum,Hylephila phyleus,34,34
Heliotropium curassavicum,Icaricia acmon,17,17
Heliotropium curassavicum,Junonia grisea,14,14
Heliotropium curassavicum,Leptotes marina,7,7
Heliotropium curassavicum,Lerodea eufala,6,6
Heliotropium curassavicum,Nathalis iole,2,2
Heliotropium curassavicum,Neodiplocampta mirus,3,3
Heliotropium curassavicum,Nomada suavis,2,2
Heliotropium curassavicum,Nomia melanderi,1,1
Heliotropium curassavicum,Nyia gazophylax,2,2
Heliotropium curassavicum,Ochlodes sylvanoides,11,11
Heliotropium curassavicum,Panoquina errans,13,13
Heliotropium curassavicum,Paragus haemorrhous,7,7
Heliotropium curassavicum,Perdita heliotropii,14,14
Heliotropium curassavicum,Pholisora catullus,2,2
Heliotropium curassavicum,Phyciodes tharos,1,1
Heliotropium curassavicum,Pieris rapae,11,11
Heliotropium curassavicum,Polites sabuleti,19,19
Heliotropium curassavicum,Polydontomyia curvipes,1,1
Heliotropium curassavicum,Polygonus leo,2,2
Heliotropium curassavicum,Pontia beckerii,1,1
Heliotropium curassavicum,Pontia protodice,27,27
Heliotropium curassavicum,Pseudocopaeodes eunus,1,1
Heliotropium curassavicum,Pyrgus scriptura,2,2
Heliotropium curassavicum,Ripiphorus smithi,1,1
Heliotropium curassavicum,Sphex ichneumoneus,1,1
Heliotropium curassavicum,Sphex lucae,2,2
Heliotropium curassavicum,Spoladea recurvalis,1,1
Heliotropium curassavicum,Strymon melinus,23,23
Heliotropium curassavicum,Strymon sylvinus,1,1
Heliotropium curassavicum,Synanthedon albicornis,3,3
Heliotropium curassavicum,Syritta flaviventris,1,1
Heliotropium curassavicum,Tharsalea helloides,12,12
Heliotropium curassavicum,Tharsalea xanthoides,10,10
Heliotropium curassavicum,Thecla tetra,1,1
Heliotropium curassavicum,Vanessa annabella,4,4
Heliotropium curassavicum,Vanessa cardui,7,7
Heliotropium curassavicum,Vanessa virginiensis,4,4
Heliotropium indicum,Danaus eresimus,1,1
Heliotropium indicum,Dione vanillae,1,1
Heliotropium indicum,Longitarsus varicornis,1,1
Heliotropium indicum,Pleuroprucha insulsaria,1,1
Helleborus orientalis,Andrena milwaukeensis,1,1
Helleborus orientalis,Apis mellifera,14,14
Helleborus orientalis,Bombus affinis,1,1
Helleborus orientalis,Bombus bimaculatus,5,5
Helleborus orientalis,Bombus perplexus,1,1
Helleborus orientalis,Bombus ternarius,2,2
Helleborus orientalis,Polistes fuscatus,1,1
Helleborus orientalis,Xylocopa virginica,4,4
Helminthotheca echioides,Agapostemon texanus,7,7
Helminthotheca echioides,Allograpta obliqua,1,1
Helminthotheca echioides,Anthophora urbana,5,5
Helminthotheca echioides,Apis mellifera,13,13
Helminthotheca echioides,Asemosyrphus polygrammus,1,1
Helminthotheca echioides,Atalopedes campestris,1,1
Helminthotheca echioides,Bombus californicus,3,3
Helminthotheca echioides,Bombus fervidus,1,0
Helminthotheca echioides,Bombus mixtus,1,0
Helminthotheca echioides,Bombus sonorus,3,3
Helminthotheca echioides,Bombus vosnesenskii,3,2
Helminthotheca echioides,Brephidium exilis,1,1
Helminthotheca echioides,Ceratina acantha,1,1
Helminthotheca echioides,Ceratina nanula,1,0
Helminthotheca echioides,Colias eurytheme,6,6
Helminthotheca echioides,Copestylum avidum,1,1
Helminthotheca echioides,Danaus gilippus,1,1
Helminthotheca echioides,Danaus plexippus,6,6
Helminthotheca echioides,Diabrotica undecimpunctata,5,5
Helminthotheca echioides,Dione vanillae,1,1
Helminthotheca echioides,Eresia aveyrona,9,9
Helminthotheca echioides,Eristalinus aeneus,9,9
Helminthotheca echioides,Eristalis arbustorum,1,1
Helminthotheca echioides,Eristalis stipator,2,2
Helminthotheca echioides,Eristalis tenax,4,4
Helminthotheca echioides,Erynnis tristis,5,5
Helminthotheca echioides,Euchloe ausonides,2,2
Helminthotheca echioides,Eupeodes fumipennis,1,1
Helminthotheca echioides,Eupeodes volucris,1,1
Helminthotheca echioides,Halictus farinosus,3,3
Helminthotheca echioides,Halictus ligatus,10,10
Helminthotheca echioides,Halictus tripartitus,1,0
Helminthotheca echioides,Helophilus latifrons,2,2
Helminthotheca echioides,Hippodamia convergens,1,1
Helminthotheca echioides,Hylephila phyleus,20,20
Helminthotheca echioides,Lasioglossum incompletum,1,0
Helminthotheca echioides,Lasioglossum titusi,1,1
Helminthotheca echioides,Leptotes marina,1,1
Helminthotheca echioides,Lon melane,12,12
Helminthotheca echioides,Macroglossum stellatarum,2,2
Helminthotheca echioides,Megachile fidelis,2,2
Helminthotheca echioides,Ochlodes sylvanoides,13,13
Helminthotheca echioides,Papilio zelicaon,20,20
Helminthotheca echioides,Paragus haemorrhous,2,2
Helminthotheca echioides,Pieris rapae,40,40
Helminthotheca echioides,Platycheirus trichopus,2,2
Helminthotheca echioides,Polites sabuleti,2,2
Helminthotheca echioides,Pontia protodice,3,3
Helminthotheca echioides,Sphaerophoria sulphuripes,2,2
Helminthotheca echioides,Syrphus opinator,5,5
Helminthotheca echioides,Toxomerus marginatus,8,8
Helminthotheca echioides,Toxomerus occidentalis,4,4
Helminthotheca echioides,Vanessa annabella,9,9
Helminthotheca echioides,Vanessa cardui,3,3
Helminthotheca echioides,Zerene eurydice,1,1
Hemerocallis fulva,Archilochus colubris,4,4
Hemerocallis fulva,Augochlora pura,4,4
Hemerocallis fulva,Battus philenor,1,1
Hemerocallis fulva,Bombus pensylvanicus,2,0
Hemerocallis fulva,Chrysopilus modestus,1,1
Hemerocallis fulva,Coleomegilla maculata,1,1
Hemerocallis fulva,Danaus plexippus,1,1
Hemerocallis fulva,Diabrotica undecimpunctata,1,1
Hemerocallis fulva,Digrammia ocellinata,1,1
Hemerocallis fulva,Eupeodes americanus,2,2
Hemerocallis fulva,Halictus ligatus,1,1
Hemerocallis fulva,Lon zabulon,1,1
Hemerocallis fulva,Lucidota atra,1,1
Hemerocallis fulva,Melissodes bimaculatus,1,1
Hemerocallis fulva,Monobia quadridens,1,1
Hemerocallis fulva,Nephrotoma cornicina,1,1
Hemerocallis fulva,Ocyptamus fuscipennis,1,1
Hemerocallis fulva,Ophiomyia kwansonis,2,2
Hemerocallis fulva,Papilio canadensis,2,2
Hemerocallis fulva,Papilio glaucus,7,7
Hemerocallis fulva,Papilio polyxenes,1,1
Hemerocallis fulva,Papilio rutulus,1,1
Hemerocallis fulva,Papilio troilus,11,11
Hemerocallis fulva,Philanthus gibbosus,1,1
Hemerocallis fulva,Physiphora alceae,1,1
Hemerocallis fulva,Polistes dominula,1,1
Hemerocallis fulva,Toxomerus geminatus,1,1
Hemerocallis fulva,Xylocopa virginica,1,1
Hemizonia congesta,Apis mellifera,5,5
Hemizonia congesta,Augochlorella pomoniella,2,2
Hemizonia congesta,Bombus melanopygus,1,1
Hemizonia congesta,Brephidium exilis,1,1
Hemizonia congesta,Eresia aveyrona,2,2
Hemizonia congesta,Eristalis hirta,1,1
Hemizonia congesta,Erynnis tristis,2,2
Hemizonia congesta,Halictus ligatus,1,1
Hemizonia congesta,Heliothodes diminutiva,12,12
Hemizonia congesta,Icaricia acmon,9,9
Hemizonia congesta,Lasioglossum titusi,6,6
Hemizonia congesta,Lon melane,2,2
Hemizonia congesta,Ochlodes sylvanoides,49,49
Hemizonia congesta,Paragus haemorrhous,1,1
Hemizonia congesta,Sphaerophoria sulphuripes,1,1
Hemizonia congesta,Toxomerus marginatus,3,3
Hemizonia congesta,Toxomerus occidentalis,2,2
Hemizonia congesta,Vespula pensylvanica,1,1
Hepatica acutiloba,Andrena aliciae,1,0
Hepatica acutiloba,Andrena andrenoides,1,0
Hepatica acutiloba,Andrena spiraeana,1,0
Hepatica acutiloba,Apallates coxendix,1,0
Hepatica acutiloba,Bibio albipennis,1,0
Hepatica acutiloba,Halictus ligatus,1,0
Hepatica acutiloba,Holcopasites heliopsis,1,0
Hepatica acutiloba,Lasioglossum albipenne,1,0
Hepatica acutiloba,Limenitis archippus,1,0
Hepatica acutiloba,Lispe albitarsis,1,0
Hepatica acutiloba,Myospila meditabunda,1,0
Hepatica acutiloba,Pipiza femoralis,1,0
Hepatica acutiloba,Triepeolus donatus,1,0
Hepatica americana,Coleomegilla maculata,1,1
Hepatica americana,Lasioglossum nigroviride,1,1
Hepatica americana,Nymphalis antiopa,1,1
Heracleum maximum,Bombus bifarius,3,0
Heracleum maximum,Bombus flavidus,1,0
Heracleum maximum,Bombus impatiens,1,0
Heracleum maximum,Bombus melanopygus,6,0
Heracleum maximum,Bombus mixtus,10,0
Heracleum maximum,Bombus occidentalis,3,0
Heracleum maximum,Bombus sitkensis,18,0
Heracleum maximum,Bombus vagans,1,0
Heracleum maximum,Bombus vandykei,1,0
Herbertia lahue,Acmaeodera tubulus,1,1
Herbertia lahue,Toxomerus marginatus,1,1
Hesperis matronalis,Agapostemon virescens,2,2
Hesperis matronalis,Aglais milberti,1,1
Hesperis matronalis,Allograpta obliqua,1,1
Hesperis matronalis,Amphion floridensis,27,27
Hesperis matronalis,Analeptura lineola,7,7
Hesperis matronalis,Ancyloxypha numitor,1,1
Hesperis matronalis,Apis mellifera,1,1
Hesperis matronalis,Blera badia,1,1
Hesperis matronalis,Bombus,3,3
Hesperis matronalis,Bombus auricomus,2,2
Hesperis matronalis,Bombus bimaculatus,4,4
Hesperis matronalis,Bombus borealis,1,1
Hesperis matronalis,Bombus citrinus,1,1
Hesperis matronalis,Bombus fervidus,5,5
Hesperis matronalis,Bombus flavifrons,11,0
Hesperis matronalis,Bombus griseocollis,13,10
Hesperis matronalis,Bombus impatiens,27,25
Hesperis matronalis,Bombus insularis,1,0
Hesperis matronalis,Bombus melanopygus,3,1
Hesperis matronalis,Bombus mixtus,2,0
Hesperis matronalis,Bombus nevadensis,4,0
Hesperis matronalis,Bombus pensylvanicus,1,1
Hesperis matronalis,Bombus rufocinctus,3,0
Hesperis matronalis,Bombus ternarius,1,1
Hesperis matronalis,Bombus vagans,1,1
Hesperis matronalis,Bombus vosnesenskii,3,2
Hesperis matronalis,Bombylius major,2,2
Hesperis matronalis,Calophasia lunula,1,1
Hesperis matronalis,Carterocephalus mandan,1,1
Hesperis matronalis,Celastrina lucia,1,1
Hesperis matronalis,Ceratina calcarata,2,2
Hesperis matronalis,Ceutorhynchus inaffectatus,1,1
Hesperis matronalis,Colias philodice,1,1
Hesperis matronalis,Danaus plexippus,12,12
Hesperis matronalis,Epargyreus clarus,17,17
Hesperis matronalis,Eristalis tenax,3,3
Hesperis matronalis,Erynnis baptisiae,1,1
Hesperis matronalis,Erynnis juvenalis,2,2
Hesperis matronalis,Eupeodes americanus,1,1
Hesperis matronalis,Eupeodes latifasciatus,1,0
Hesperis matronalis,Eupeodes volucris,1,1
Hesperis matronalis,Eurimyia stipatus,1,1
Hesperis matronalis,Glaucopsyche lygdamus,1,1
Hesperis matronalis,Habropoda laboriosa,1,1
Hesperis matronalis,Hemaris diffinis,10,10
Hesperis matronalis,Hemaris thetis,1,1
Hesperis matronalis,Hemaris thysbe,14,14
Hesperis matronalis,Hesperia sassacus,3,3
Hesperis matronalis,Lasioglossum nigroviride,1,1
Hesperis matronalis,Limenitis arthemis,2,2
Hesperis matronalis,Limenitis astyanax,1,1
Hesperis matronalis,Lon hobomok,21,21
Hesperis matronalis,Lon zabulon,19,19
Hesperis matronalis,Lycomorpha pholus,1,1
Hesperis matronalis,Merodon equestris,4,4
Hesperis matronalis,Monocesta coryli,1,1
Hesperis matronalis,Nymphalis antiopa,3,3
Hesperis matronalis,Papilio appalachiensis,1,1
Hesperis matronalis,Papilio canadensis,46,46
Hesperis matronalis,Papilio cresphontes,33,33
Hesperis matronalis,Papilio eurymedon,3,3
Hesperis matronalis,Papilio glaucus,29,29
Hesperis matronalis,Papilio polyxenes,13,13
Hesperis matronalis,Papilio rutulus,1,1
Hesperis matronalis,Papilio troilus,16,16
Hesperis matronalis,Papilio zelicaon,1,1
Hesperis matronalis,Perispasta caeculalis,1,1
Hesperis matronalis,Pidonia ruficollis,1,1
Hesperis matronalis,Pieris rapae,17,16
Hesperis matronalis,Plutella porrectella,2,2
Hesperis matronalis,Polites themistocles,7,7
Hesperis matronalis,Rhingia nasica,3,3
Hesperis matronalis,Syrphus torvus,1,1
Hesperis matronalis,Tetracis cachexiata,82,82
Hesperis matronalis,Thymelicus lineola,2,2
Hesperis matronalis,Thyris maculata,1,1
Hesperis matronalis,Toxomerus geminatus,3,3
Hesperis matronalis,Toxomerus marginatus,3,3
Hesperis matronalis,Vanessa atalanta,9,9
Hesperis matronalis,Vanessa cardui,2,2
Hesperis matronalis,Vanessa virginiensis,1,1
Hesperis matronalis,Vespula vidua,1,1
Hesperis matronalis,Xylocopa virginica,15,15
Hesperocallis undulata,Eupompha elegans,1,1
Hesperocallis undulata,Hippodamia convergens,1,1
Hesperolinon congestum,Anthophora urbana,1,1
Hesperoyucca whipplei,Apis mellifera,1,1
Hesperoyucca whipplei,Coccinella septempunctata,1,1
Hesperoyucca whipplei,Cortodera falsa,1,1
Hesperoyucca whipplei,Hippodamia convergens,2,2
Hesperoyucca whipplei,Linepithema humile,1,1
Hesperoyucca whipplei,Lytta auriculata,1,1
Hesperoyucca whipplei,Scyphophorus yuccae,2,2
Hesperoyucca whipplei,Tegeticula maculata,1,1
Heteromeles arbutifolia,Acmaeodera angelica,1,1
Heteromeles arbutifolia,Agapostemon texanus,3,3
Heteromeles arbutifolia,Allograpta obliqua,6,6
Heteromeles arbutifolia,Apis mellifera,26,26
Heteromeles arbutifolia,Atlides halesus,1,1
Heteromeles arbutifolia,Augochlorella pomoniella,4,1
Heteromeles arbutifolia,Bombus,1,1
Heteromeles arbutifolia,Bombus californicus,1,1
Heteromeles arbutifolia,Bombus crotchii,2,1
Heteromeles arbutifolia,Bombus melanopygus,16,14
Heteromeles arbutifolia,Bombus vosnesenskii,42,39
Heteromeles arbutifolia,Calliphora vicina,1,1
Heteromeles arbutifolia,Calypte anna,1,1
Heteromeles arbutifolia,Calypte costae,1,1
Heteromeles arbutifolia,Ceratina acantha,1,1
Heteromeles arbutifolia,Ceratina arizonensis,2,2
Heteromeles arbutifolia,Cercyonis pegala,1,1
Heteromeles arbutifolia,Compsomyiops callipes,1,1
Heteromeles arbutifolia,Copestylum avidum,1,1
Heteromeles arbutifolia,Copestylum fraudulentum,2,2
Heteromeles arbutifolia,Copestylum mexicanum,4,4
Heteromeles arbutifolia,Copestylum satur,1,1
Heteromeles arbutifolia,Copestylum sexmaculatum,1,1
Heteromeles arbutifolia,Copestylum violaceum,1,1
Heteromeles arbutifolia,Cotinis mutabilis,1,1
Heteromeles arbutifolia,Ctenucha brunnea,2,2
Heteromeles arbutifolia,Ctenucha rubroscapus,1,1
Heteromeles arbutifolia,Danaus gilippus,1,1
Heteromeles arbutifolia,Danaus plexippus,2,2
Heteromeles arbutifolia,Eresia aveyrona,1,1
Heteromeles arbutifolia,Eristalinus aeneus,2,2
Heteromeles arbutifolia,Eristalinus taeniops,1,1
Heteromeles arbutifolia,Eristalis arbustorum,1,1
Heteromeles arbutifolia,Erynnis tristis,2,2
Heteromeles arbutifolia,Euodynerus hidalgo,1,1
Heteromeles arbutifolia,Halictus farinosus,9,7
Heteromeles arbutifolia,Halictus tripartitus,8,8
Heteromeles arbutifolia,Heliothodes diminutiva,1,1
Heteromeles arbutifolia,Hemiargus ceraunus,1,1
Heteromeles arbutifolia,Hippodamia convergens,1,1
Heteromeles arbutifolia,Hylephila phyleus,2,2
Heteromeles arbutifolia,Incisalia irioides,2,2
Heteromeles arbutifolia,Isodontia mexicana,1,1
Heteromeles arbutifolia,Judolia sexspilota,5,5
Heteromeles arbutifolia,Junonia grisea,1,1
Heteromeles arbutifolia,Lasioglossum sisymbrii,4,4
Heteromeles arbutifolia,Leptotes marina,3,3
Heteromeles arbutifolia,Limenitis lorquini,1,1
Heteromeles arbutifolia,Metatrichia bulbosa,1,1
Heteromeles arbutifolia,Mordella hubbsi,1,1
Heteromeles arbutifolia,Nymphalis californica,1,1
Heteromeles arbutifolia,Ochlodes agricola,2,2
Heteromeles arbutifolia,Ochlodes sylvanoides,1,1
Heteromeles arbutifolia,Orphilus subnitidus,1,1
Heteromeles arbutifolia,Papilio eurymedon,1,1
Heteromeles arbutifolia,Papilio zelicaon,1,1
Heteromeles arbutifolia,Paradejeania rutilioides,1,1
Heteromeles arbutifolia,Paragus haemorrhous,1,1
Heteromeles arbutifolia,Parancistrocerus declivatus,2,2
Heteromeles arbutifolia,Pepsis thisbe,1,1
Heteromeles arbutifolia,Perdita rhois,51,51
Heteromeles arbutifolia,Philanthus crabroniformis,2,2
Heteromeles arbutifolia,Polistes dominula,2,2
Heteromeles arbutifolia,Prenolepis imparis,1,1
Heteromeles arbutifolia,Pseudomyrmex apache,1,1
Heteromeles arbutifolia,Selasphorus sasin,1,1
Heteromeles arbutifolia,Sphex ichneumoneus,8,8
Heteromeles arbutifolia,Stator limbatus,1,1
Heteromeles arbutifolia,Strophiona tigrina,1,1
Heteromeles arbutifolia,Strymon melinus,7,7
Heteromeles arbutifolia,Strymon saepium,1,1
Heteromeles arbutifolia,Syritta pipiens,3,3
Heteromeles arbutifolia,Thecla tetra,3,3
Heteromeles arbutifolia,Vanessa annabella,1,1
Heteromeles arbutifolia,Vanessa atalanta,2,2
Heteromeles arbutifolia,Vanessa cardui,2,2
Heteromeles arbutifolia,Vanessa virginiensis,5,5
Heteromeles arbutifolia,Vespula alascensis,7,7
Heteromeles arbutifolia,Vespula pensylvanica,3,3
Heteromeles arbutifolia,Wohlfahrtia vigil,1,1
Heterotheca camporum,Bombus bifarius,2,0
Heterotheca camporum,Bombus huntii,2,0
Heterotheca camporum,Bombus impatiens,3,0
Heterotheca camporum,Bombus mixtus,1,0
Heterotheca camporum,Chlosyne gorgone,1,1
Heterotheca camporum,Colias eurytheme,1,1
Heterotheca camporum,Eurema lisa,1,1
Heterotheca camporum,Hylaeus floridanus,1,1
Heterotheca camporum,Nathalis iole,1,1
Heterotheca camporum,Pontia protodice,1,1
Heterotheca canescens,Celotes nessus,1,1
Heterotheca grandiflora,Abaeis nicippe,1,1
Heterotheca grandiflora,Acmaeodera bacchariphaga,2,2
Heterotheca grandiflora,Agapostemon texanus,14,14
Heterotheca grandiflora,Allograpta obliqua,1,1
Heterotheca grandiflora,Anthophora urbana,8,8
Heterotheca grandiflora,Apis mellifera,1,1
Heterotheca grandiflora,Augochlorella pomoniella,8,8
Heterotheca grandiflora,Burnsius albezens,1,1
Heterotheca grandiflora,Burnsius communis,1,1
Heterotheca grandiflora,Ceratina acantha,2,2
Heterotheca grandiflora,Ceratina arizonensis,3,3
Heterotheca grandiflora,Copestylum avidum,1,1
Heterotheca grandiflora,Copestylum marginatum,2,2
Heterotheca grandiflora,Dejongia californicus,2,2
Heterotheca grandiflora,Dieunomia nevadensis,1,1
Heterotheca grandiflora,Digrammia neptaria,1,1
Heterotheca grandiflora,Epeolus minimus,1,1
Heterotheca grandiflora,Eresia aveyrona,4,4
Heterotheca grandiflora,Erynnis tristis,1,1
Heterotheca grandiflora,Euodynerus hidalgo,1,1
Heterotheca grandiflora,Eupeodes fumipennis,1,1
Heterotheca grandiflora,Eupeodes volucris,2,2
Heterotheca grandiflora,Halictus ligatus,11,11
Heterotheca grandiflora,Halictus tripartitus,1,1
Heterotheca grandiflora,Hellula rogatalis,1,1
Heterotheca grandiflora,Hylephila phyleus,3,3
Heterotheca grandiflora,Icaricia acmon,2,2
Heterotheca grandiflora,Lasioglossum actinosum,1,1
Heterotheca grandiflora,Lon melane,1,1
Heterotheca grandiflora,Megachile parallela,1,1
Heterotheca grandiflora,Nathalis iole,3,3
Heterotheca grandiflora,Ochlodes sylvanoides,11,11
Heterotheca grandiflora,Palpada alhambra,1,1
Heterotheca grandiflora,Palpada mexicana,1,1
Heterotheca grandiflora,Paragus haemorrhous,2,2
Heterotheca grandiflora,Parancistrocerus declivatus,4,4
Heterotheca grandiflora,Polites sabuleti,1,1
Heterotheca grandiflora,Pyrausta californicalis,1,1
Heterotheca grandiflora,Sphaerophoria sulphuripes,2,2
Heterotheca grandiflora,Syritta flaviventris,2,2
Heterotheca grandiflora,Syritta pipiens,1,1
Heterotheca grandiflora,Toxomerus marginatus,1,1
Heterotheca hirsutissima,Cercyonis oetus,2,2
Heterotheca hirsutissima,Dieunomia nevadensis,1,1
Heterotheca hirsutissima,Helophilus latifrons,1,1
Heterotheca oregona,Bombus bifarius,14,0
Heterotheca oregona,Bombus insularis,1,0
Heterotheca oregona,Bombus vosnesenskii,1,0
Heterotheca oregona,Eresia aveyrona,1,1
Heterotheca oregona,Ochlodes sylvanoides,1,1
